"房源标题";"价格";"出租方式";"户型";"建筑面积";"朝向";"楼层";"装修";"小区名称";"地址"
"四海- 62平3房 电梯房 游泳池 停车位足 有钥匙急租";"6900元/月（押二付一）";"整租";"3室2厅1卫";"62平米";"东";"中层";"精装修";"华侨城四海公寓 (南山/蛇口)";"蛇口后海大道与工业七路交汇处西侧"
"实拍靖轩豪苑 匠心打造全智能唯美两房 黄贝岭地铁口 比邻国贸";"7500元/月（押二付一）";"整租";"2室2厅1卫";"72平米";"东南";"高层";"豪华装修";"靖轩豪苑 (罗湖/黄贝岭)";"黄贝岭地铁站A出口/深南东路与沿河北路交汇处"
"乐城 二房二厅一卫 豪华装修 家私电器全齐 朝东南 看房方便";"4300元/月（押一付三）";"整租";"2室2厅1卫";"76平米";"南";"低层";"豪华装修";"THE TOWN乐城 (龙岗/横岗)";"横岗街道深惠路与荷坳路交汇处"
"楼下就是地铁站 向南瑞峰花园 房子保养的好 住家首\先 车位充足";"7500元/月（押二付一）";"整租";"3室2厅2卫";"105平米";"南北";"高层";"精装修";"向南瑞峰花园 (南山/南山中心区)";"桂庙路北、南光路西"
"蛇口海滨花园3房 户型好 家私电齐全 近地铁口";"6800元/月（押二付一）";"整租";"3室2厅2卫";"61平米";"南北";"高层";"精装修";"海滨花园(蛇口) (南山/蛇口)";"兴华路5号"
"上河坊精装两房，业主诚心出租";"4600元/月（押二付一）";"整租";"2室1厅2卫";"52平米";"东南";"中层";"精装修";"书香门第上河坊 (龙华区/民治)";"梅龙路与金龙路交汇处"
"实图实价 太古城北区精装三房 家私家电全齐 东南向看海景";"17000元/月（押二付一）";"整租";"3室2厅2卫";"117平米";"东南";"中层";"精装修";"宝能太古城北区 (南山/后海)";"南山后海滨路以东"
"地铁口200米小区仅有带电梯带家私空房都可以的三房，装修好";"4500元/月（押二付一）";"整租";"3室2厅2卫";"110平米";"南北";"高层";"精装修";"美丽365花园 (龙华区/龙华)";"龙华东环二路与三联路交汇处"
"口物业，园林社区，公园商环绕，幼儿园林立，四通八达";"15000元/月（押二付一）";"整租";"3室2厅2卫";"118平米";"南北";"中层";"豪华装修";"中旅国际公馆二期 (福田/农科中心)";"福田农科中心农林路玉润田路交汇处"
"实拍图！！全新装修第①次放租，家私全齐，随时可以拎包入住";"7500元/月（押一付三）";"整租";"2室2厅1卫";"61平米";"南";"高层";"简装修";"蔚蓝雅苑 (南山/后海)";"南山区后海大道"
"靓盘！设施完善花样年花郡家园1室";"4600元/月（押二付一）";"整租";"1室1厅1卫";"38平米";"西北";"低层";"精装修";"花样年花郡家园 (宝安/宝安中心区)";"深圳市宝安区明玉路11号"
"名居广场 三房 精装修 新房首租 83平 3500元 直接入住";"3500元/月（押一付三）";"整租";"3室2厅1卫";"83平米";"南";"中层";"精装修";"名居广场 (龙岗/龙岗中心城)";"龙岗大道和如意路交汇处，地铁3号线爱联站西北侧"
"金地龙城 整租 全新家私电器 离龙城广场地铁站200米距离";"3500元/月（押一付一）";"整租";"3室2厅2卫";"89平米";"南";"低层";"精装修";"金地龙城中央 (龙岗/龙岗中心区)";"中心区龙城南路与龙岗大道交界处（地铁3号线龙城广场A"
"金地海景花园 精装2房 全齐家电 高层 安静 随时看房";"8300元/月（押二付一）";"整租";"2室2厅1卫";"84平米";"南";"中层";"豪华装修";"金地海景花园 (福田/新洲)";"新洲南路与福荣路交汇处"
"新出精装三房 位置安静 看小区全景 房子保养不错";"7800元/月（押二付一）";"整租";"3室2厅1卫";"87平米";"南";"中层";"精装修";"莲花一村 (福田/莲花)";"红荔路与皇岗路交界西南角"
"豪华装修，带品牌家私电器，3房带独立的衣帽间";"6300元/月（押二付一）";"整租";"3室2厅1卫";"82平米";"南";"低层";"豪华装修";"西城雅筑 (宝安/宝安中心区)";"深圳前海宝安中心区.新湖路地铁1号线宝体站"
"金地龙城 地铁口精装三房视野开阔采光好家私齐全可随时看房";"4200元/月（押二付一）";"整租";"3室2厅2卫";"88平米";"南";"高层";"精装修";"金地龙城中央 (龙岗/龙岗中心区)";"中心区龙城南路与龙岗大道交界处（地铁3号线龙城广场A"
"南海玫瑰花园一期 豪华装修大3房 带入户花园 全新配置 拎包即住";"15000元/月（押二付一）";"整租";"3室2厅2卫";"127平米";"南";"高层";"豪华装修";"南海玫瑰花园二期 (南山/蛇口)";"蛇口东角头公园南路与望海路交汇处"
"茗萃园精装三房，家私电全齐 采光好、户型正，拎包即入住";"3600元/月（押二付一）";"整租";"3室2厅1卫";"88平米";"南";"中层";"精装修";"佳兆业茗萃园 (龙岗/平湖)";"平湖良安田平安大道与良白路交汇处（华南城北大门东南侧"
"深大小西门创世纪滨海花园 精装四房 近软件产业基地";"10500元/月（押二付一）";"整租";"4室2厅2卫";"166平米";"南";"低层";"豪华装修";"创世纪滨海花园 (南山/南山中心区)";"滨海大道与南油大道交界处"
"双物业，高楼层南北通三房，陪读深高，配套齐全。";"10000元/月（押二付一）";"整租";"3室2厅1卫";"121平米";"南";"高层";"精装修";"香珠花园 (福田/香蜜湖)";"深南大道中段香蜜湖畔"
"大冲华润城配套，科苑花园隔壁泰阳硅谷有房租，";"3200元/月（押二付一）";"整租";"1室0厅1卫";"30平米";"南";"高层";"中装修";"博客公寓 (南山/科技园)";"南山区科科苑路与科华路交界处"
"鸿威海怡湾畔花园 装修保养好 4+1房 租金实惠";"20000元/月（押二付一）";"整租";"4室2厅2卫";"150平米";"南北";"高层";"豪华装修";"鸿威海怡湾畔花园 (南山/后海)";"深圳市南山区科苑路与中心路交界处"
"万科东海岸两房两厅出租5000";"5000元/月（押二付一）";"整租";"2室2厅1卫";"79平米";"南";"高层";"简装修";"万科东海岸二期 (盐田/梅沙)";"盐田大梅沙环碧路216号"
"精装看山景一房一厅,真正的拎衣入住,与9号地铁同行";"3300元/月（押二付一）";"整租";"1室1厅1卫";"36平米";"南";"中层";"精装修";"银晖名居 (罗湖/泥岗)";"深圳市罗湖区泥岗村金碧路"
"中旅国际公馆二期，豪华装修，家具电器齐全，干净";"15000元/月（押二付一）";"整租";"3室2厅2卫";"169平米";"南北";"高层";"精装修";"中旅国际公馆二期 (福田/农科中心)";"福田农科中心农林路玉润田路交汇处"
"大新地铁站新德家园 精装两房全齐";"6100元/月（押一付二）";"整租";"2室2厅1卫";"73平米";"南";"中层";"精装修";"新德家园 (南山/前海)";"前海路与学府路交界处"
"绿化小区 旁深大西门和软件产业基地 首.次出租 装修保养好";"7800元/月（押二付一）";"整租";"3室2厅2卫";"133平米";"南北";"中层";"精装修";"学林雅院 (南山/南山中心区)";"南山区南学府路99号"
"罗湖翠竹文康楼60335平全齐2500出租";"2500元/月（押二付一）";"整租";"1室0厅1卫";"35平米";"南";"中层";"精装修";"文康楼 (罗湖/水库)";"罗湖区水库新村二街"
"南联地/铁口复式一房一厅 家私电器齐全 采光充足高层";"2600元/月（押二付一）";"整租";"1室1厅1卫";"32平米";"南";"中层";"精装修";"远洋新干线 (龙岗/龙岗中心城)";"深圳地铁三号线龙城广场站、南联站之间（南联站A出口）"
"水湾直达！拎/包入住，高层，精装3房，首/次出租！";"8000元/月（押二付一）";"整租";"3室2厅1卫";"110平米";"南北";"高层";"豪华装修";"望海汇景苑 (南山/蛇口)";"蛇口海昌街101号"
"新安公园旁边，新安湖三期大三房，南向，高楼层，通风采光好急租";"7500元/月（押二付一）";"整租";"3室2厅2卫";"124平米";"南";"高层";"精装修";"新安湖花园三期 (宝安/新安)";"广东省深圳市宝安区兴华二路188"
"南向高楼层看香港景观 空房可配齐实图现房出租！";"12000元/月（押二付一）";"整租";"3室2厅2卫";"101平米";"南";"高层";"精装修";"中海天钻 (罗湖/蔡屋围)";"桂园街道滨河路与红岭路交汇处东南侧"
"购物公园旁， 宏轩大厦精装一房。周边购物生活方便。";"5000元/月（押二付一）";"整租";"1室1厅1卫";"45平米";"暂无";"中层";"精装修";"宏轩大厦 (福田/石厦)";"石厦北一街31号"
"白石龙地铁口豪装全新家私，诚心出租";"8000元/月（押二付一）";"整租";"4室2厅2卫";"90平米";"西北";"低层";"精装修";"龙光玖龙玺 (龙华区/民治)";"4号线白石龙地铁站C出口"
"星海名城(五期)新出的2室，看房方便";"5800元/月（押二付一）";"整租";"2室1厅1卫";"49平米";"南";"中层";"简装修";"星海名城五期 (南山/前海)";"前海路西侧，南头中学对面"
"蛇口 大两房海尚国际 近站 滨海长廊真实图片价格";"7300元/月（押二付一）";"整租";"2室1厅1卫";"82平米";"西南";"低层";"简装修";"海尚国际 (南山/蛇口)";"南山区蛇口海昌路与公园路交汇处西南角"
"万象天成 正中时代 豪华4房 业主诚心出租 小区自带幼儿园";"5000元/月（押一付一）";"整租";"4室2厅1卫";"141平米";"南";"高层";"精装修";"万象天成 (龙岗/龙岗中心城)";"龙岗中心城龙翔大道与盛龙路交汇处（龙城广场东北）"
"国展苑1室1厅1卫";"2800元/月（面议）";"整租";"1室1厅1卫";"45平米";"南";"高层";"中装修";"国展苑 (龙岗/布吉)";"布吉镇吉荣路"
"坪山高铁旁 招商花园城，空房出租。";"3000元/月（押二付一）";"整租";"3室2厅1卫";"89平米";"南";"中层";"精装修";"坪山招商花园城 (坪山区/坪山)";"管委会及中心公园旁"
"高新园地铁口 大冲新城花园全新精装小两房 看房方便业主急租";"7500元/月（押二付一）";"整租";"2室1厅1卫";"60平米";"南";"中层";"豪华装修";"大冲新城花园 (南山/科技园)";"广东省深圳市南山区科技路654号"
"婚房装修 碧海湾站+西乡站 花园社区带泳池";"4500元/月（押一付一）";"整租";"2室1厅1卫";"42平米";"南";"中层";"精装修";"碧海富通城一期 (宝安/西乡)";"西乡大道与兴业路交汇处"
"鹏兴花园三期大社区 精装两房全齐出租拎包入住有钥匙看房方便";"5500元/月（押二付一）";"整租";"2室2厅1卫";"76平米";"南";"中层";"精装修";"鹏兴花园三期 (罗湖/莲塘)";"莲塘聚福路与仙湖路交汇处"
"车公庙温馨小家园 泰安轩精装一房，高素质人群";"5500元/月（押二付一）";"整租";"1室1厅1卫";"49平米";"南北";"中层";"精装修";"泰安轩 (福田/车公庙)";"泰然四路118号"
"近3/5/7号线 公园旁的家 精装3房急租 有钥匙随时看房";"8500元/月（押一付一）";"整租";"3室2厅1卫";"93平米";"南北";"高层";"精装修";"百仕达花园一期 (罗湖/布心)";"罗湖水库东晓路南段（百仕达花园公交站附近）"
"御河堤新出单身 有钥匙带看";"4000元/月（押二付一）";"整租";"1室0厅1卫";"33平米";"南";"高层";"豪华装修";"御河堤 (福田/上步)";"红岭南路与东园路交汇处岁宝百货旁"
"安家优选 碧海红树园 3室2厅 122平";"17000元/月（面议）";"整租";"3室2厅1卫";"123平米";"南";"高层";"精装修";"碧海红树园 (福田/上下沙)";"滨河大道与福荣路交汇处"
"九号大院 高层精装修观湖海双景 看音乐喷泉 业主诚意出租！";"25000元/月（押二付一）";"整租";"4室2厅3卫";"315平米";"南北";"中层";"精装修";"香域中央花园 (福田/农科中心)";"福田香蜜湖农园路与泽田路交汇处"
"书香门第上河坊精装一室 带家电 实图 朝花园安静 可微信详询";"4000元/月（押二付一）";"整租";"1室1厅1卫";"42平米";"北";"中层";"精装修";"书香门第上河坊 (龙华区/民治)";"梅龙路与金龙路交汇处"
"福永小区精装修三房家电齐全，小区自带游泳池，随时入住！";"4500元/月（押二付一）";"整租";"3室2厅1卫";"82平米";"南";"高层";"精装修";"中粮凤凰里花苑 (宝安/福永)";"福永街道大洋路与塘新路交汇处"
"实拍固戍华庭178平四房出租 客厅出阳台 通风采光没得说";"5500元/月（押二付一）";"整租";"4室2厅2卫";"178平米";"南";"中层";"精装修";"固戍华庭 (宝安/西乡)";"宝安西乡固戍一路"
"中海怡美 豪华装修大三房 全家私电器出租 保养好采光佳";"3800元/月（押二付一）";"整租";"3室2厅2卫";"112平米";"西南";"中层";"精装修";"中海怡美山庄 (龙岗/横岗)";"康乐路与乐园路交汇处"
"109平米阳光带海滨城二期 科技园，全家私电器出租";"13500元/月（面议）";"整租";"3室2厅2卫";"109平米";"东南";"高层";"豪华装修";"阳光带海滨城二期 (南山/科技园)";"科苑南路与高新南十道交汇处"
"梅林关口 白石龙地铁站 星河盛世 精装一房一厅 空房急租 实惠";"4600元/月（押二付一）";"整租";"1室1厅1卫";"47平米";"南";"高层";"精装修";"星河盛世 (龙华区/民治)";"梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白"
"蛇口海伴雅居 近海上世界 68平精装2房 朝南安静 家私全齐 诚租";"6200元/月（押二付一）";"整租";"2室2厅1卫";"68平米";"南";"中层";"精装修";"海伴雅居 (南山/蛇口)";"蛇口海昌路109号"
"红岭大厦精装三房，近地铁口，近荔枝公园，干净舒适，看房方便";"7000元/月（押二付一）";"整租";"3室1厅1卫";"84平米";"南";"高层";"精装修";"红岭大厦 (福田/上步)";"福田红岭南路与深南中路交汇处"
"高层海景豪园三大房，精装入住，家私电全齐，3房2厅2卫";"8800元/月（押二付一）";"整租";"3室2厅2卫";"100平米";"南";"高层";"精装修";"豪方现代豪园 (南山/科技园)";"高新中二道与科技中一路交汇处"
"豪园三大房，两个洗手间，业主住，家私电全齐，拎包即可入住";"9000元/月（押二付一）";"整租";"3室2厅2卫";"100平米";"南";"中层";"精装修";"豪方现代豪园 (南山/科技园)";"高新中二道与科技中一路交汇处"
"吉祥龙花园 太古城商圈 三房两厅 豪华装修 小区怡人";"15500元/月（押二付一）";"整租";"3室2厅2卫";"89平米";"南";"中层";"豪华装修";"吉祥龙 (南山/后海)";"后海滨路与工业七路交叉口"
"万科金域东郡 业主急租，大三房，家电齐全，！";"3400元/月（押一付三）";"整租";"3室2厅2卫";"105平米";"东南";"高层";"毛坯";"万科金域东郡 (坪山区/坪山)";"龙岗坪山街道大工业区行政中心区（中心公园旁）"
"翠海花园新式装修，高层3房安静舒适，公园位置，天然氧吧";"13000元/月（押二付一）";"整租";"3室2厅2卫";"121平米";"南北";"中层";"精装修";"振业翠海花园 (福田/农科中心)";"福田区侨香路与农园路交汇处"
"科技园近地铁毗邻科兴科学园的花园式大三房诚找租客哦";"8000元/月（押二付一）";"整租";"3室2厅2卫";"120平米";"南北";"中层";"精装修";"科苑花园 (南山/科技园)";"科技园北区科华路与科苑路交汇处"
"地铁站物业 全新装修 业主首.次出租 家私家电全齐 七街公馆";"4200元/月（押二付一）";"整租";"1室1厅1卫";"46平米";"南北";"高层";"豪华装修";"七街公馆 (福田/景田)";"景田北七街青海大厦西侧"
"直租 洪浪北上合花园旁精装一房一厅带阳台 家私电器齐全";"2500元/月（押二付一）";"整租";"1室1厅1卫";"45平米";"南北";"高层";"精装修";"上合花园 (宝安/新安)";"宝安新安街道上川二路与公园路交汇处上合村"
"山海四季城 精装大4房 南北通透采光好 带花园游泳池";"4800元/月（押一付一）";"整租";"4室2厅2卫";"120平米";"南";"低层";"精装修";"山海四季城一期 (盐田/盐田港)";"中心区北山道（盐田实验学校旁）、毗邻地铁8号线盐田站"
"御锦公馆.低价出租！！！4000月全齐出租";"4000元/月（押一付一）";"整租";"1室0厅1卫";"25平米";"南";"中层";"精装修";"御锦公馆 (福田/梅林)";"广康路1号"
"福田中心区购物公园 精装2房 家私家电齐全 南向看花园";"12000元/月（押二付一）";"整租";"2室2厅1卫";"85平米";"东南";"中层";"精装修";"中海华庭 (福田/福田中心区)";"民田路89号"
"全新装修,家电齐全,配套成熟设施完善，丽湖花园两房，急租";"2500元/月（押二付一）";"整租";"2室2厅1卫";"60平米";"南";"中层";"精装修";"丽湖花园 (龙岗/布吉)";"布吉镇上水径布龙路边307总站旁边"
"蔡屋围精装全齐拎包入住！3000元！";"3000元/月（押二付一）";"整租";"1室1厅1卫";"36平米";"西南";"中层";"精装修";"中航凯特公寓 (罗湖/蔡屋围)";"深圳市罗湖区宝安南路3019号"
"大新地铁口 精装修大3房 温馨入住 居家享受 看房方便";"7800元/月（押一付二）";"整租";"3室2厅2卫";"100平米";"南";"高层";"精装修";"前海花园 (南山/前海)";"前海路与桃园路交汇处"
"香山里 162平三房 夏天找房辛苦，请到我的店铺来";"23000元/月（面议）";"整租";"3室2厅3卫";"162平米";"南北";"中层";"精装修";"香山里 (南山/华侨城)";"华侨城香山西街8号"
"双玺花园公馆百万豪装 东南朝向3面采光看海景 图片真实";"15000元/月（面议）";"整租";"1室1厅1卫";"88平米";"东南";"中层";"豪华装修";"海上双玺花园一期 (南山/蛇口)";"南山蛇口望海路南侧"
"科技园腾.讯大厦旁阳光海景豪苑精装两房配齐家具家电出租";"5000元/月（押二付一）";"整租";"2室2厅1卫";"60平米";"南";"中层";"精装修";"阳光海景豪苑 (南山/科技园)";"高新中四道与南海大道交界处"
"黄木岗北区2房 近笔架山公园、近公交、近华润、要选好位置";"5800元/月（押二付一）";"整租";"2室2厅1卫";"76平米";"南北";"高层";"简装修";"黄木岗北区 (福田/笔架山)";"笋岗路西路与梅岗路交汇处西北角"
"精装2房 家私电器全齐 拎包入住";"4100元/月（押二付一）";"整租";"2室2厅1卫";"63平米";"南";"低层";"精装修";"碧桐湾 (盐田/沙头角)";"深圳市盐田区恩上路一巷"
"俊安苑 家电齐全 装修漂亮 位置安静 看房有钥匙";"13000元/月（押一付一）";"整租";"4室2厅3卫";"133平米";"南";"低层";"豪华装修";"俊安苑 (福田/农科中心)";"深圳市福田区农科中心农轩路121号"
"蛇口海上世界 人人乐旁 好楼层 106平豪装 家私全齐 拎包入住";"10000元/月（押二付一）";"整租";"3室1厅1卫";"106平米";"南";"低层";"豪华装修";"海尚国际 (南山/蛇口)";"南山区蛇口海昌路与公园路交汇处西南角"
"南山豪庭精装大两房 家具齐全 拎包入住";"5800元/月（押二付一）";"整租";"2室2厅1卫";"80平米";"南北";"中层";"精装修";"南山豪庭 (南山/南头)";"南头红花路136号"
"金洪观荟3室2厅,业主豪装5.1米出租";"4000元/月（押二付一）";"整租";"3室2厅2卫";"51平米";"西";"低层";"精装修";"金洪观荟二期 (龙华区/观澜)";"碧澜路与悦兴路交汇处"
"龙园意境精装2房4100元 干净清爽 看房方便 电梯高层";"4100元/月（押二付一）";"整租";"2室2厅1卫";"78平米";"南";"中层";"简装修";"龙园意境 (龙岗/布吉)";"深圳市龙岗区布吉街道布龙路与景芬路交汇处"
"西湖林语二加一户型 精装 全齐家私 静谧小区 月底空出";"7000元/月（押二付一）";"整租";"2室1厅1卫";"79平米";"南";"低层";"精装修";"西湖林语名苑 (南山/西丽)";"丽山路与丽水路交界处"
"地铁始发站 中海精装三房两厅 精致装修 家电全齐";"4500元/月（押二付一）";"整租";"3室2厅2卫";"129平米";"东南";"高层";"精装修";"中海西岸华府 (宝安/松岗)";"松岗沙江西路与朗碧路交汇处"
"罗湖布心 东乐大厦 3房豪华装修 家私家电全齐 仅租6500";"6500元/月（押二付一）";"整租";"3室1厅1卫";"111平米";"西北";"中层";"豪华装修";"东乐大厦 (罗湖/布心)";"深圳市罗湖区深南东路2019号"
"实景拍摄！业主精心装修3房，，周边配套齐全，诚心出租";"7500元/月（押一付三）";"整租";"3室2厅2卫";"89平米";"东北";"高层";"精装修";"泰福苑 (南山/蛇口)";"蛇口街道湾厦村"
"湾区大空港看立新湖景84平精装三房租金4500拎包入住";"4500元/月（押二付一）";"整租";"3室2厅2卫";"85平米";"南";"高层";"精装修";"御景水岸花园(别墅)(宝安/福永)";"温馨路"
"深业258平米顶楼6房上下三层家电齐全楼下11号线宝安站旁";"18000元/月（面议）";"整租";"6室4厅2卫";"285平米";"东南";"高层";"豪华装修";"深业新岸线三期 (宝安/宝安中心区)";"创业路与罗田路交汇处"
"绿景公馆1866(南区)，全新配置，横空出世了！期待你的入住";"4000元/月（押二付一）";"整租";"1室1厅1卫";"54平米";"南北";"高层";"精装修";"绿景公馆1866 (龙华区/龙华)";"龙华拓展区梅龙路与民兴路交汇处西南"
"11号线松岗站，精装电梯房，家电齐全，带阳台，采光好环境好";"1580元/月（押二付一）";"整租";"1室1厅1卫";"45平米";"南北";"高层";"精装修";"御景城 (宝安/松岗)";"沙江路与宝安大道交汇处"
"万科金域东郡+万科金域缇香+招商花园城+家私电齐全";"3000元/月（押二付一）";"整租";"3室2厅1卫";"108平米";"南";"高层";"精装修";"万科金域东郡 (坪山区/坪山)";"龙岗坪山街道大工业区行政中心区（中心公园旁）"
"精装修两房，高楼层，视野开阔，家私电器齐全";"8888元/月（押二付一）";"整租";"2室1厅1卫";"68平米";"东南";"高层";"精装修";"后海公馆 (南山/后海)";"后海蓝天路与后海滨路的交汇处"
"水湾1979上精装两房，保养很好，业主诚租";"9800元/月（面议）";"整租";"2室2厅1卫";"95平米";"西南";"中层";"豪华装修";"水湾1979 (南山/蛇口)";"蛇口太子路与荔园路交汇（水湾地铁站D出口）"
"《国庆！豪装》三房，高楼层。朝花园，看泳池";"4500元/月（押二付一）";"整租";"3室1厅1卫";"88平米";"南";"高层";"中装修";"熙璟城 (龙岗/平湖)";"平湖·富安大道与平安大道交汇处"
"福永地铁站，同泰时代中心广场，豪装大房，家私家电全齐 ，";"2800元/月（面议）";"整租";"1室2厅1卫";"52平米";"南";"中层";"豪华装修";"同泰时代中心(宝安/福永)";"蚝业路"
"南海玫瑰园二期，200平花园，4房诚心出租";"20000元/月（押二付一）";"整租";"4室2厅2卫";"126平米";"南";"低层";"豪华装修";"南海玫瑰花园二期 (南山/蛇口)";"蛇口东角头公园南路与望海路交汇处"
"近地铁口大新站 阳光棕榈园 全齐正规一房一厅 拎包入住";"5500元/月（押二付一）";"整租";"1室1厅1卫";"40平米";"南";"高层";"精装修";"阳光棕榈园 (南山/前海)";"前海路与学府路交汇处"
"罗湖口 金迪名苑 水贝商圈 一房家私电器都有 看房方便";"2500元/月（押二付一）";"整租";"1室0厅1卫";"26平米";"东";"低层";"简装修";"金迪名苑 (罗湖/布心)";"布心路及东昌路交汇处"
"金地龙城 近龙城广场 精装三房 业主诚心租房";"3600元/月（押二付一）";"整租";"3室2厅2卫";"89平米";"东南";"中层";"精装修";"金地龙城中央 (龙岗/龙岗中心区)";"中心区龙城南路与龙岗大道交界处（地铁3号线龙城广场A"
"深圳实验高中 豪宅 一梯两户南北通透";"11000元/月（押二付一）";"整租";"5室2厅2卫";"189平米";"南北";"低层";"豪华装修";"官龙名苑 (南山/西丽)";"西丽镇同发路"
"后海皇庭港湾精装大三房，全齐家私，方便看房，房源真实有效";"17000元/月（押二付一）";"整租";"3室2厅2卫";"177平米";"南";"高层";"中装修";"皇庭港湾 (南山/蛇口)";"南山后海中心路与招商东路交汇处东南角"
"招商花园城小区3房两厅欢迎您的光临业主急租";"2900元/月（押一付三）";"整租";"3室2厅1卫";"89平米";"南";"高层";"精装修";"坪山招商花园城 (坪山区/坪山)";"管委会及中心公园旁"
"旭景佳园精装大3房，家私电器齐全，拎包入住，保养很新";"5300元/月（押二付一）";"整租";"2室2厅1卫";"106平米";"南北";"中层";"精装修";"旭景佳园 (龙岗/坂田)";"布龙公路与坂雪岗大道交汇处南侧"
"世纪广场新出，标准一房一厅，业主放租只要4500全新家私";"4200元/月（押一付三）";"整租";"1室1厅1卫";"58平米";"南";"低层";"精装修";"世纪广场 (南山/南油)";"南山区东滨路4024号"
"富通蟠龙居 3室2厅 5800元";"5800元/月（面议）";"整租";"3室2厅2卫";"95平米";"东南";"中层";"中装修";"富通蟠龙居 (宝安/西乡)";"宝安区西乡新城大道58区"
"半岛城邦三期1栋高楼层全海景，南北通透5房 全新豪装";"35000元/月（押二付一）";"整租";"6室2厅3卫";"226平米";"南北";"高层";"豪华装修";"半岛城邦三期 (南山/蛇口)";"东角头望海路与金世纪路交汇处"
"福田中 心区，彩天名苑两房业主诚心出租";"6300元/月（押二付一）";"整租";"2室1厅1卫";"61平米";"东";"中层";"精装修";"彩天名苑 (福田/福田中心区)";"彩田路与深南大道交汇处"
"真，实房源，车公庙出口，出行便利，周边配套齐全，。";"7800元/月（押二付一）";"整租";"2室1厅1卫";"62平米";"南北";"中层";"精装修";"泰康轩 (福田/车公庙)";"深南大道与泰然九路交汇处深南大道入口"
"店长推荐！中海华庭 家电家具齐全 干净整洁，拎包入住";"11000元/月（押二付一）";"整租";"2室2厅1卫";"84平米";"南";"中层";"精装修";"中海华庭 (福田/福田中心区)";"民田路89号"
"龙胜口接驳，特发和平里，精装全齐一房，临港铁天颂及中海锦城";"3700元/月（押二付一）";"整租";"1室1厅1卫";"39平米";"南";"高层";"精装修";"特发和平里 (龙华区/民治)";"和平路与布龙路交汇处西角，地铁4号线龙胜站AD出口"
"东南朝向，彩光好！带家私家电，精装。";"2700元/月（押二付一）";"整租";"3室2厅1卫";"83平米";"东南";"低层";"精装修";"坪山首座项目 (坪山区/坪山)";"广东省深圳市龙岗区横坪路汤坑小学旁"
"星河盛世豪装2房 高层 家私电器全齐 看房方便";"5800元/月（押二付一）";"整租";"2室1厅1卫";"51平米";"南";"高层";"精装修";"星河盛世 (龙华区/民治)";"梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白"
"真实的房源 和价格 不是广告房源 出租了 2室";"5800元/月（押二付一）";"整租";"2室2厅1卫";"62平米";"南";"中层";"精装修";"花好园 (福田/上下沙)";"滨河大道辅路与东涌路交汇处"
"真图实价 深航假日名居 豪装大三房 看海景 安静小区 有钥匙";"7400元/月（押二付一）";"整租";"3室2厅2卫";"120平米";"南";"高层";"豪华装修";"深航假日名居 (宝安/宝安中心区)";"宝安区 新安六路与滨海大道交汇处东北角"
"华强北，桑达雅苑三房两厅，商+住的选择，近市场";"9500元/月（押二付一）";"整租";"3室2厅1卫";"99平米";"南";"高层";"简装修";"桑达雅苑 (福田/华强)";"华强北华发北路"
"温馨两房 家私全齐 随时看房 拎包入住";"6200元/月（押二付一）";"整租";"2室1厅1卫";"60平米";"南";"高层";"精装修";"中爱花园 (南山/西丽)";"龙珠大道东桃源村北"
"嘉年华名苑一房一厅便宜放组了，看房随时方便";"4000元/月（押二付一）";"整租";"1室1厅1卫";"44平米";"南";"高层";"简装修";"嘉年华名苑 (罗湖/东门)";"罗湖区晒布路18号"
"李正岭推荐：摧残星河，高楼层东南向，豪装3+1房，有钥匙随时看";"15000元/月（押二付一）";"整租";"3室2厅2卫";"143平米";"南";"高层";"豪华装修";"星河国际花园 (福田/福田中心区)";"福华四路与民田路的交汇处"
"香山美墅 装修很漂亮 九层新 全齐 随时入住";"27000元/月（押二付一）";"整租";"4室2厅3卫";"186平米";"南";"中层";"精装修";"香山美墅 (南山/华侨城)";"华侨城文化创意园香山西街"
"急租 菁英趣庭豪华装修,客厅出大阳台,朝东南安静,真实图片";"5200元/月（押一付一）";"整租";"2室2厅1卫";"65平米";"南";"高层";"精装修";"菁英趣庭 (宝安/宝安中心区)";"宝安大道与裕安路交汇处"
"双玺花园公馆 全新智能家私家电 来电即可看房";"17880元/月（押二付一）";"整租";"2室2厅1卫";"88平米";"南";"高层";"豪华装修";"海上世界双玺花园三期 (南山/蛇口)";"蛇口望海路"
"桃源村三期三房保养干净安静位置口";"6500元/月（押二付一）";"整租";"3室2厅1卫";"92平米";"东";"高层";"中装修";"桃源村三期 (南山/西丽)";"龙珠大道南侧，北环路北侧"
"皇岗 益田花园二期 南北通 精装3房 家电家具全齐 拎包即可入住";"8500元/月（押二付一）";"整租";"3室2厅2卫";"103平米";"南北";"中层";"精装修";"益田花园二期 (福田/皇岗)";"福田福强路皇岗公园对面"
"海欣花园185平的5房出租，交通便利 采光好，仅13000元";"13000元/月（押二付一）";"整租";"5室2厅2卫";"185平米";"南";"低层";"中装修";"海欣花园 (南山/蛇口)";"南山区蛇口海昌街"
"乐城 精装修3室2厅 诚心出租4500";"4200元/月（押一付一）";"整租";"3室1厅2卫";"90平米";"南北";"高层";"精装修";"THE TOWN乐城 (龙岗/横岗)";"横岗街道深惠路与荷坳路交汇处"
